Source_URL,Source_Title,Source_Type,Target_URL,Target_Title,Target_Type,Target_Keyword,Semantic_Relevance_Score
https://hirein.co.uk/extension-ladder-hire/,Extension Ladder Hire,product,https://hirein.co.uk/diy-home-renovation-equipment-hire-for-every-project/,DIY & Home Renovation,pillar,DIY equipment,0.70
https://hirein.co.uk/extension-ladder-hire/,Extension Ladder Hire,product,https://hirein.co.uk/cheap-ladder-hire/,Cheap Ladder Hire,product,ladder hire options,0.75
https://hirein.co.uk/cheap-ladder-hire/,Cheap Ladder Hire,product,https://hirein.co.uk/diy-home-renovation-equipment-hire-for-every-project/,DIY & Home Renovation,pillar,DIY ladder hire,0.80
https://hirein.co.uk/cheap-ladder-hire/,Cheap Ladder Hire,product,https://hirein.co.uk/scaffold-access-solutions-complete-equipment-hire-guide/,Scaffold & Access Solutions,pillar,ladder solutions,0.70
https://hirein.co.uk/cheap-ladder-hire/,Cheap Ladder Hire,product,https://hirein.co.uk/extension-ladder-hire/,Extension Ladder Hire,product,extension ladder,0.75
https://hirein.co.uk/lifting-equipment-hire/,Lifting Equipment Hire,product,https://hirein.co.uk/material-handling-lifting-efficient-equipment-solutions/,Material Handling & Lifting,pillar,lifting solutions,0.90
https://hirein.co.uk/lifting-equipment-hire/,Lifting Equipment Hire,product,https://hirein.co.uk/site-groundworks-equipment-professional-hire-services/,Site & Groundworks Equipment,pillar,site equipment,0.70
https://hirein.co.uk/lifting-equipment-hire/,Lifting Equipment Hire,product,https://hirein.co.uk/blog/lifting-equipment-guide,Complete Guide to Lifting Equipment,post,lifting equipment guide,0.80
https://hirein.co.uk/lifting-gear-hire/,Lifting Gear Hire,product,https://hirein.co.uk/material-handling-lifting-efficient-equipment-solutions/,Material Handling & Lifting,pillar,lifting gear solutions,0.90
https://hirein.co.uk/lifting-gear-hire/,Lifting Gear Hire,product,https://hirein.co.uk/lifting-equipment-hire/,Lifting Equipment Hire,product,lifting equipment,0.80
https://hirein.co.uk/heater-hire/,Heater Hire,product,https://hirein.co.uk/site-groundworks-equipment-professional-hire-services/,Site & Groundworks Equipment,pillar,site heating,0.85
https://hirein.co.uk/heater-hire/,Heater Hire,product,https://hirein.co.uk/industrial-heater-hire/,Industrial Heater Hire,product,industrial heater,0.80
https://hirein.co.uk/heater-hire/,Heater Hire,product,https://hirein.co.uk/blog/heater-hire-winter,Winter Construction: Heater Hire Guide,post,winter heating guide,0.75
https://hirein.co.uk/industrial-heater-hire/,Industrial Heater Hire,product,https://hirein.co.uk/site-groundworks-equipment-professional-hire-services/,Site & Groundworks Equipment,pillar,industrial site heating,0.85
https://hirein.co.uk/industrial-heater-hire/,Industrial Heater Hire,product,https://hirein.co.uk/heater-hire/,Heater Hire,product,heater hire,0.80
https://hirein.co.uk/barrier-fencing-hire/,Barrier Fencing Hire,product,https://hirein.co.uk/safety-security-equipment-protect-your-site-team/,Safety & Security Equipment,pillar,site security,0.85
https://hirein.co.uk/barrier-fencing-hire/,Barrier Fencing Hire,product,https://hirein.co.uk/site-groundworks-equipment-professional-hire-services/,Site & Groundworks Equipment,pillar,site fencing,0.75
https://hirein.co.uk/barrier-fencing-hire/,Barrier Fencing Hire,product,https://hirein.co.uk/blog/construction-site-safety,Construction Site Safety Guide,post,site safety fencing,0.70
https://hirein.co.uk/site-fencing-hire/,Site Fencing Hire,product,https://hirein.co.uk/safety-security-equipment-protect-your-site-team/,Safety & Security Equipment,pillar,site security fencing,0.85
https://hirein.co.uk/site-fencing-hire/,Site Fencing Hire,product,https://hirein.co.uk/barrier-fencing-hire/,Barrier Fencing Hire,product,barrier fencing,0.80
https://hirein.co.uk/scaffold-hire-prices/,Scaffold Hire Prices,product,https://hirein.co.uk/scaffold-access-solutions-complete-equipment-hire-guide/,Scaffold & Access Solutions,pillar,scaffold pricing,0.85
https://hirein.co.uk/scaffold-hire-prices/,Scaffold Hire Prices,product,https://hirein.co.uk/aluminium-scaffold-tower-hire/,Aluminium Scaffold Tower Hire,product,scaffold tower pricing,0.75
https://hirein.co.uk/platform-ladder-hire/,Platform Ladder Hire,product,https://hirein.co.uk/scaffold-access-solutions-complete-equipment-hire-guide/,Scaffold & Access Solutions,pillar,platform access,0.80
https://hirein.co.uk/platform-ladder-hire/,Platform Ladder Hire,product,https://hirein.co.uk/diy-home-renovation-equipment-hire-for-every-project/,DIY & Home Renovation,pillar,DIY platform ladder,0.70
https://hirein.co.uk/platform-ladder-hire/,Platform Ladder Hire,product,https://hirein.co.uk/cheap-ladder-hire/,Cheap Ladder Hire,product,ladder hire,0.75
https://hirein.co.uk/step-ladder-hire/,Step Ladder Hire,product,https://hirein.co.uk/diy-home-renovation-equipment-hire-for-every-project/,DIY & Home Renovation,pillar,DIY step ladder,0.80
https://hirein.co.uk/step-ladder-hire/,Step Ladder Hire,product,https://hirein.co.uk/scaffold-access-solutions-complete-equipment-hire-guide/,Scaffold & Access Solutions,pillar,step access,0.70
https://hirein.co.uk/step-ladder-hire/,Step Ladder Hire,product,https://hirein.co.uk/cheap-ladder-hire/,Cheap Ladder Hire,product,affordable ladder,0.75
https://hirein.co.uk/diy-scaffold-tower/,DIY Scaffold Tower,product,https://hirein.co.uk/diy-home-renovation-equipment-hire-for-every-project/,DIY & Home Renovation,pillar,DIY scaffold solutions,0.90
https://hirein.co.uk/diy-scaffold-tower/,DIY Scaffold Tower,product,https://hirein.co.uk/scaffold-access-solutions-complete-equipment-hire-guide/,Scaffold & Access Solutions,pillar,scaffold tower options,0.80
https://hirein.co.uk/diy-scaffold-tower/,DIY Scaffold Tower,product,https://hirein.co.uk/aluminium-scaffold-tower-hire/,Aluminium Scaffold Tower Hire,product,aluminium scaffold,0.75
